KH_ID,GioiTinh,QueQuan,NamHocThu,ChuyenNganh,NgheNghiepGiaDinh,ChiTieuHangThang,ThoiGianSuDung,MucDichSuDungLaptop,MucDoHaiLong,YeuToThuongHieuSP,YeuToCauHinh,YeuToTocDoXuLy,YeuToGia,YeuToThietKe,YeuToUyTinNhaBanle,YeuToBaoMat,YeuToBaoHanh,YeuToKhuyenMai
CTM10164,Nam,Quảng Trị,Năm 2,Luật kinh tế,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web), Khác",5,3,3,3,3,3,3,3,3,3
CTM10246,Nam,Đà Nẵng,Năm 4,Hệ thống thông tin quản lý,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game",4,4,5,5,4,3,4,1,5,5
CTM1028,Nữ,Nghệ An,Năm 3,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",4,4,3,4,4,3,4,2,4,4
CTM10516,Nam,Gia Lai,Năm 2,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,4,4,3,2,3,3,4,2
CTM10573,Nam,Thừa Thiên Huế,Năm 4,Tài chính doanh nghiệp,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",3,3,4,3,4,1,4,1,3,4
CTM10591,Nữ,Hồ Chí Minh,Năm 4,Thương mại,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,4,4,4,5,5,3,5,4
CTM10657,Nam,Đà Nẵng,Năm 2,Toán kinh tế,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,3,3,3,3,3,3,3,3
CTM10863,Nam,Đà Nẵng,Năm 3,Hệ thống thông tin quản lý,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Chơi game",4,4,5,5,3,2,3,3,3,4
CTM10869,Nữ,Đà Nẵng,Năm 4,Thương mại,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,3,3,5,3,5,2,5,5
CTM11013,Nữ,Hồ Chí Minh,Năm 1,Truyền thông Marketing,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,Học tập,4,4,2,3,3,5,5,4,5,4
CTM11016,Nữ,Đắk Lắk,Năm 2,Ngoại thương,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",5,5,4,3,3,5,4,5,4,3
CTM11020,Nữ,Gia Lai,Năm 3,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",3,4,3,3,4,5,5,2,5,4
CTM11312,Nam,Hồ Chí Minh,Năm 3,Quản trị kinh doanh,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,"Làm việc, Chơi game",5,5,5,5,4,3,5,3,5,3
CTM11376,Nữ,Hà Tĩnh,Năm 4,Quản trị khách sạn,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,5,4,5,4,3,3,5,4
CTM11476,Nữ,Hồ Chí Minh,Năm 3,Quản trị Marketing,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Trên 2 năm,Học tập,4,4,2,3,3,4,2,2,4,2
CTM11491,Nam,Quảng Nam,Năm 3,Hệ thống thông tin quản lý,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game",5,4,5,5,3,2,4,3,4,4
CTM1154,Nữ,Đà Nẵng,Năm 1,Quản trị khách sạn,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,Làm việc,4,4,4,4,4,4,4,4,4,4
CTM11567,Nam,Hồ Chí Minh,Năm 3,Ngoại thương,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,4,3,4,3,2,4,4,3,3
CTM11667,Nam,Đà Nẵng,Năm 4,Quản trị kinh doanh,Công chức nhà nước,Trên 5.000.000,Trên 2 năm,"Học tập, Làm việc",4,3,4,4,4,4,4,3,3,2
CTM11768,Nữ,Bình Định,Năm 2,Kiểm toán,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,3,4,2,2,3,4,2,2,3,4
CTM1205,Nữ,Quảng Bình,Năm 3,Quản lý nhà nước,Nông dân,Dưới 1.500.000,Từ 6 tháng - 1 năm,Học tập,4,4,2,2,5,3,5,3,5,5
CTM12086,Nam,Bình Định,Năm 2,Ngoại thương,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc",3,2,3,4,3,3,3,2,4,3
CTM12311,Nam,Quảng Nam,Năm 3,Kiểm toán,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,1,4,4,4,2,3,2,4,5
CTM1232,Nam,Gia Lai,Năm 1,Thương mại,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,4,4,4,4,4,4,4,4
CTM12334,Nữ,Nghệ An,Năm 3,Toán kinh tế,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",5,4,5,5,5,3,4,2,4,4
CTM12448,Nữ,Kon Tum,Năm 4,Kế toán,Nông dân,Dưới 1.500.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",4,2,3,3,4,4,4,2,3,3
CTM12491,Nam,Kon Tum,Năm 3,Tài chính doanh nghiệp,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,2,4,4,5,2,3,2,4,3
CTM12511,Nữ,Đắk Lắk,Năm 3,Quản trị Marketing,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",4,4,3,3,4,5,4,3,4,5
CTM12519,Nữ,Quảng Nam,Năm 4,Kế toán,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",3,2,2,3,4,4,4,2,3,4
CTM12588,Nam,Quảng Trị,Năm 2,Tài chính doanh nghiệp,Nông dân,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,4,4,4,1,2,3,4,5
CTM12627,Nữ,Quảng Trị,Năm 4,Ngoại thương,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web), Khác",4,4,5,5,4,4,5,5,5,4
CTM12635,Nữ,Gia Lai,Năm 3,Luật,Nông dân,Dưới 1.500.000,Dưới 6 tháng,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,4,4,5,3,3,2,5,5
CTM13167,Nam,Đà Nẵng,Năm 3,Kiểm toán,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,Làm việc,3,3,5,5,5,4,4,4,4,5
CTM13236,Nam,Lâm Đồng,Năm 4,Thương mại,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,4,2,4,4,2,4,3,4
CTM13282,Nữ,Bình Định,Năm 1,Truyền thông Marketing,Nông dân,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,2,3,2,3,3,3,3,3,3
CTM13449,Nữ,Kon Tum,Năm 2,Luật,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",4,4,2,3,4,5,2,2,4,3
CTM13508,Nữ,Quảng Nam,Năm 4,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,4,3,5,4,5,3,4,4
CTM13653,Nữ,Đà Nẵng,Năm 2,Thương mại,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,2,3,4,4,3,4,3,3,5
CTM13664,Nữ,Hà Tĩnh,Năm 3,Thương mại điện tử,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",5,2,4,4,3,2,2,3,4,5
CTM13762,Nữ,Quảng Trị,Năm 3,Thương mại điện tử,Nông dân,Dưới 1.500.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",3,4,2,4,3,2,3,2,4,4
CTM13837,Nữ,Đắk Lắk,Năm 3,Tài chính doanh nghiệp,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,5,5,2,3,4,5,2,3,2,3
CTM13887,Nam,Đắk Nông,Năm 2,Hệ thống thông tin quản lý,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,4,5,5,4,3,4,2,4,5
CTM14029,Nam,Đắk Lắk,Năm 3,Quan hệ công chúng,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Dưới 6 tháng,Làm việc,5,1,5,5,5,5,5,5,5,5
CTM14049,Nam,Hà Tĩnh,Năm 4,Tài chính doanh nghiệp,Nông dân,Trên 5.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,5,4,4,4,5,5,4,5,3
CTM14053,Nam,Hồ Chí Minh,Năm 2,Ngoại thương,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",3,4,4,4,5,5,4,3,3,4
CTM14121,Nam,Đà Nẵng,Năm 3,Kinh tế,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",3,3,3,3,4,3,3,2,3,4
CTM14184,Nữ,Quảng Nam,Năm 3,Toán kinh tế,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",3,4,4,5,4,2,4,3,4,4
CTM142,Nữ,Đắk Nông,Năm 3,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,3,2,3,4,3,2,3,3,4,5
CTM14258,Nam,Đà Nẵng,Năm 2,Ngoại thương,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Dưới 6 tháng,"Học tập, Chơi game",4,4,2,3,4,3,2,3,4,4
CTM14408,Nam,Đắk Nông,Năm 3,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web), Khác",4,4,5,5,3,3,4,3,4,3
CTM1441,Nữ,Đà Nẵng,Năm 2,Ngoại thương,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,3,4,4,3,3,3,2,3,2
CTM145,Nữ,Bình Định,Năm 1,Ngoại thương,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web), Khác",4,3,4,4,4,2,3,4,3,2
CTM14696,Nữ,Quảng Trị,Năm 4,Kế toán,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",4,4,2,2,3,2,4,2,3,4
CTM14813,Nữ,Đà Nẵng,Năm 4,Thương mại điện tử,Kinh doanh tự do,Trên 5.000.000,Từ 1 năm đến 2 năm,"Chơi game, Khác",5,3,3,3,3,3,3,3,3,3
CTM15043,Nữ,Hà Tĩnh,Năm 3,Thương mại,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,Học tập,4,3,3,3,3,3,3,3,3,3
CTM15082,Nữ,Hồ Chí Minh,Năm 1,Ngoại thương,Công chức nhà nước,Dưới 1.500.000,Dưới 6 tháng,Học tập,4,4,3,3,4,2,4,4,3,4
CTM15171,Nam,Quảng Nam,Năm 2,Luật,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game",5,3,3,3,3,3,3,3,3,3
CTM15260,Nữ,Quảng Bình,Năm 3,Kế toán,Nông dân,Dưới 1.500.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web), Khác",3,4,2,2,4,4,3,2,4,4
CTM15327,Nữ,Thanh Hóa,Năm 3,Ngoại thương,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",4,4,3,3,4,3,4,5,3,3
CTM15333,Nam,Quảng Nam,Năm 3,Hệ thống thông tin quản lý,Nông dân,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Làm việc, Chơi game",3,3,5,5,4,2,3,4,4,4
CTM15426,Nữ,Bình Định,Năm 2,Luật,Nông dân,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,1,4,4,4,2,4,1,4
CTM15464,Nam,Quảng Trị,Năm 4,Toán kinh tế,Nông dân,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,4,5,5,4,3,4,5,4,5
CTM15674,Nam,Gia Lai,Năm 4,Tài chính doanh nghiệp,Kinh doanh tự do,Trên 5.000.000,Từ 6 tháng - 1 năm,"Giải trí (xem phim, nghe nhạc, lướt web)",4,3,3,4,3,3,3,4,3,4
CTM15688,Nam,Quảng Nam,Năm 2,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Chơi game",3,4,3,4,4,3,2,2,4,3
CTM15703,Nam,Đắk Lắk,Năm 3,Hệ thống thông tin quản lý,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Chơi game",4,4,5,5,4,2,3,3,5,4
CTM15751,Nam,Đà Nẵng,Năm 3,Thương mại,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Dưới 6 tháng,Làm việc,4,3,3,3,3,3,3,3,3,3
CTM15835,Nam,Bình Định,Năm 1,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game",5,3,3,3,3,3,3,3,3,3
CTM15919,Nam,Nghệ An,Năm 2,Quản trị kinh doanh,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",5,5,4,4,5,5,2,5,3,4
CTM16011,Nữ,Đà Nẵng,Năm 2,Toán kinh tế,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Dưới 6 tháng,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,3,4,4,2,4,4,2,3,2
CTM16182,Nam,Quảng Bình,Năm 3,Kinh tế phát triển,Nông dân,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",4,5,2,3,4,3,2,2,3,4
CTM16264,Nữ,Đà Nẵng,Năm 1,Quản trị Marketing,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Dưới 6 tháng,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web), Khác",5,3,4,4,2,2,4,4,4,2
CTM1634,Nam,Quảng Trị,Năm 3,Truyền thông Marketing,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",3,5,3,3,4,5,3,3,4,4
CTM16527,Nữ,Đà Nẵng,Năm 4,Thương mại,Nhân viên văn phòng,Trên 5.000.000,Từ 6 tháng - 1 năm,Làm việc,4,3,3,3,3,3,3,3,3,3
CTM16593,Nam,Hồ Chí Minh,Năm 4,Quản trị kinh doanh,Nhân viên văn phòng,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",5,5,3,3,4,5,5,5,5,4
CTM16641,Nữ,Gia Lai,Năm 2,Thương mại điện tử,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Khác",4,4,4,4,2,2,3,4,3,1
CTM1676,Nữ,Quảng Trị,Năm 2,Quản trị chuỗi cung ứng,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",2,5,3,3,5,4,3,2,4,5
CTM16782,Nữ,Đắk Nông,Năm 2,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,3,3,4,2,2,3,3,2
CTM16880,Nam,Hồ Chí Minh,Năm 1,Khoa học dữ liệu,Công chức nhà nước,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,2,5,5,3,3,4,3,5,4
CTM17010,Nữ,Quảng Trị,Năm 2,Kế toán,Nông dân,Dưới 1.500.000,Dưới 6 tháng,Học tập,3,4,3,3,4,3,4,3,4,3
CTM17043,Nữ,Quảng Trị,Năm 4,Quản trị chuỗi cung ứng,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,4,4,4,4,5,5,5,5
CTM17102,Nam,Bình Định,Năm 3,Ngoại thương,Nông dân,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",2,4,3,4,5,2,3,2,3,3
CTM17109,Nữ,Quảng Nam,Năm 2,Kiểm toán,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,Học tập,3,3,4,4,4,3,4,4,4,4
CTM17226,Nữ,Thừa Thiên Huế,Năm 1,Kế toán,Nông dân,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,Học tập,5,5,4,5,5,4,4,5,5,3
CTM17242,Nữ,Thừa Thiên Huế,Năm 3,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",4,4,3,4,3,2,4,3,4,4
CTM17317,Nữ,Quảng Bình,Năm 3,Luật kinh tế,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,Học tập,3,4,3,3,4,4,5,4,5,5
CTM17342,Nam,Hồ Chí Minh,Năm 4,Kiểm toán,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",3,4,3,3,4,2,4,2,2,3
CTM17479,Nữ,Gia Lai,Năm 1,Luật,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,3,3,5,3,3,3,5,5
CTM17585,Nam,Hà Tĩnh,Năm 1,Hệ thống thông tin quản lý,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc",4,5,5,5,5,2,4,2,5,5
CTM17649,Nữ,Đắk Lắk,Năm 3,Kiểm toán,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,Học tập,3,4,2,2,3,4,3,2,3,4
CTM17713,Nam,Đà Nẵng,Năm 1,Kinh tế đầu tư,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,Khác,5,4,4,4,4,4,3,4,4,4
CTM17781,Nữ,Hồ Chí Minh,Năm 3,Quan hệ công chúng,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,4,4,3,4,5,2,4,4
CTM18035,Nam,Đà Nẵng,Năm 2,Hệ thống thông tin quản lý,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,4,5,5,5,2,2,3,4,5
CTM18038,Nam,Quảng Nam,Năm 3,Quản trị kinh doanh,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",2,3,3,4,5,3,4,3,5,5
CTM18051,Nữ,Kon Tum,Năm 1,Kiểm toán,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",4,5,5,5,4,3,5,5,5,3
CTM18106,Nữ,Đắk Lắk,Năm 2,Thương mại,Nông dân,Dưới 1.500.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",3,2,2,3,4,3,4,3,3,5
CTM18160,Nữ,Đà Nẵng,Năm 1,Quản trị khách sạn,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,Làm việc,2,4,4,4,4,4,4,4,4,4
CTM1827,Nữ,Hồ Chí Minh,Năm 4,Ngoại thương,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",3,4,3,3,4,5,3,3,4,3
CTM18385,Nữ,Thanh Hóa,Năm 3,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",2,3,3,3,4,2,3,2,4,4
CTM18407,Nữ,Đắk Lắk,Năm 4,Luật,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,4,4,4,4,4,4,4,4
CTM18579,Nam,Thừa Thiên Huế,Năm 1,Truyền thông Marketing,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game",2,4,3,4,5,4,2,2,3,4
CTM18644,Nữ,Đà Nẵng,Năm 1,Ngân hàng,Nhân viên văn phòng,Từ 1.500.000 đến 3.000.000,Dưới 6 tháng,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,4,4,5,5,4,4,5,4
CTM18679,Nữ,Đà Nẵng,Năm 4,Thương mại điện tử,Kinh doanh tự do,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,4,4,3,3,3,4,3,2
CTM18738,Nữ,Bình Định,Năm 1,Kinh tế phát triển,Nông dân,Dưới 1.500.000,Trên 2 năm,"Học tập, Giải trí (xem phim, nghe nhạc, lướt web)",3,3,4,4,3,3,4,4,5,3
CTM18747,Nữ,Đắk Lắk,Năm 3,Kiểm toán,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",4,5,5,5,4,3,5,5,4,2
CTM18845,Nữ,Quảng Bình,Năm 2,Luật kinh tế,Nông dân,Dưới 1.500.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc",4,4,2,3,4,4,5,2,4,4
CTM18888,Nữ,Đà Nẵng,Năm 2,Quản trị Marketing,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",5,4,3,4,4,3,3,3,5,5
CTM19062,Nam,Đắk Nông,Năm 1,Quản trị kinh doanh,Nông dân,Dưới 1.500.000,Dưới 6 tháng,Học tập,4,4,3,4,3,2,2,2,4,4
CTM19083,Nữ,Đà Nẵng,Năm 3,Ngoại thương,Nhân viên văn phòng,Từ 3.000.000 đến 5.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web), Khác",5,3,4,4,1,4,4,2,3,3
CTM19117,Nam,Kon Tum,Năm 3,Truyền thông Marketing,Công chức nhà nước,Từ 3.000.000 đến 5.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Chơi game",4,2,3,4,4,2,2,2,3,4
CTM19189,Nam,Quảng Nam,Năm 3,Hệ thống thông tin quản lý,Nông dân,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",4,4,5,5,4,4,5,4,5,5
CTM1925,Nam,Quảng Nam,Năm 1,Quản trị dịch vụ du lịch và lữ hành,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 6 tháng - 1 năm,"Học tập, Làm việc, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web), Khác",5,3,4,4,2,4,3,3,4,2
CTM19428,Nam,Quảng Nam,Năm 3,Kiểm toán,Kinh doanh tự do,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Chơi game, Giải trí (xem phim, nghe nhạc, lướt web)",3,3,3,4,4,3,4,2,4,4
CTM19487,Nữ,Bình Định,Năm 3,Kế toán,Nông dân,Dưới 1.500.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc",3,2,2,3,4,4,2,2,4,3
CTM19582,Nữ,Phú Yên,Năm 2,Ngoại thương,Nông dân,Từ 1.500.000 đến 3.000.000,Từ 1 năm đến 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",2,2,3,3,5,2,3,1,4,5
CTM19849,Nữ,Quảng Nam,Năm 4,Thương mại điện tử,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,5,5,4,4,4,3,4,3
CTM19865,Nam,Quảng Nam,Năm 2,Truyền thông Marketing,Nông dân,Từ 3.000.000 đến 5.000.000,Trên 2 năm,"Học tập, Làm việc, Chơi game",3,4,3,3,4,3,4,2,4,4
CTM19870,Nữ,Đắk Lắk,Năm 4,Thương mại,Nông dân,Từ 1.500.000 đến 3.000.000,Trên 2 năm,"Học tập, Làm việc, Giải trí (xem phim, nghe nhạc, lướt web)",5,4,3,3,4,3,5,2,4,4
